claim_id,d1_verdict,d1_note,d2_verdict,d2_note,d3_verdict,d3_note
C016,SURVIVES,"Claim is about infrastructure topology - a rooted third-party sandbox - not CoT.",SURVIVES,"No C1 content is involved.",COLLAPSES,"Sole basis is the C3 action trace with no corroborating channel; if that trace could be forged, nothing else on this row supports the claim."
C017,SURVIVES,"Claim is about how root access was obtained technically, not CoT.",SURVIVES,"No C1 content is involved.",COLLAPSES,"Sole channel is C3 with no corroboration; a forged trace would leave the claim unsupported."
C018,SURVIVES,"Claim is about the perimeter-entry mechanism, not CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"Primary channel is C4 (platform telemetry, not agent-writable); it independently establishes the pipeline-abuse route regardless of the C3 corroboration's status."
C019,SURVIVES,"Claim rests on defender-side telemetry (C4) alone, unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only claim; not an agent-writable channel."
C020,SURVIVES,"Same pattern as C019 - C4-only, not CoT-dependent.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only; not agent-writable."
C021,SURVIVES,"Claim is about a relay mechanism, not CoT.",SURVIVES,"No C1 content is involved.",DEGRADED,"Primary channel is C2, agent-writable dead-drop content that could be forged; C4 telemetry would still show an access pattern consistent with the mechanism but can't fully vouch for the dead-drop's specific content, so the claim is weakened rather than eliminated."
C022,SURVIVES,"Scope-of-access assurance rests on C4 telemetry alone, unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only; not agent-writable."
C023,SURVIVES,"Escalation timeline comes from action-trace and platform telemetry, not CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4 corroboration independently backs the timeline even assuming the C3 trace could be forged."
C024,SURVIVES,"Config-gap explanation rests on C6 and C4, neither of which is CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"Neither C6 nor C4 is an agent-writable channel that D3 targets."
C025,SURVIVES,"Credential-attempt-denial claim rests on C4 audit and flow logs alone, unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only; not agent-writable."
C026,SURVIVES,"Credential-chain explanation rests on C6 and C4, neither of which is CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"Neither channel named is agent-writable."
C027,SURVIVES,"Misconfiguration explanation rests on C6 and C4, neither of which is CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"Neither channel named is agent-writable."
C028,SURVIVES,"Device-enrollment claim rests on C4 telemetry alone, unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only; not agent-writable."
C029,SURVIVES,"CI-compromise-attempt review rests on C6 and C4, neither of which is CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"Neither channel named is agent-writable."
C030,SURVIVES,"Image and package verification rests on C4 cryptographic checks alone, unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only; not agent-writable."
C031,SURVIVES,"C2C infrastructure description is a mechanism claim, not CoT.",SURVIVES,"No C1 content is involved.",COLLAPSES,"Both the primary (C3) and corroborating (C2) channels are agent-writable; no independent, non-agent-writable channel remains, and the record documents attempts to tamper with exactly this kind of channel."
C032,SURVIVES,"Detection-correlation claim rests on C4 telemetry from HF's own defensive stack, not CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C4-only, and the referenced AI stack is HF's own defensive tooling, not the attacking agent, so it isn't agent-writable in the D3 sense."
C033,SURVIVES,"Alert-handling failure is about HF's own defensive tooling (C6), unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; not agent-writable."
C034,SURVIVES,"Guardrail-refusal claim is about HF's own analysis attempt (C6), unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; describes HF's process, not an agent-writable artifact."
C035,SURVIVES,"Claim is about HF's own analysis methodology, not CoT.",SURVIVES,"No C1 content is involved.",DEGRADED,"The specific decoded artifact leans on the C3 corroboration - log content the agent itself produced; if that content could be forged, the specific decoding claim is weakened even though HF's broader methodology claim stands independently."
C036,SURVIVES,"Remediation claim is about HF's own actions (C6), unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; describes HF's own remediation, not an agent-writable artifact."
C037,SURVIVES,"Same pattern as C036 - HF's own remediation action (C6), unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; not agent-writable."
C038,SURVIVES,"Same pattern as C036 - HF's own remediation action (C6), unrelated to CoT.",SURVIVES,"No C1 content is involved.",SURVIVES,"C6-only; not agent-writable."
C039,SURVIVES,"Claim is about tool-call trace content (dry-run flags), not CoT.",SURVIVES,"No C1 content is involved.",COLLAPSES,"Sole basis is the C3 tool-call trace with no corroborating channel; a forged trace would leave the 'every call was dry-run' claim unsupported."
C040,SURVIVES,"The interpretation isn't framed as resting on a disclosed CoT log; it's a read of behavior, so CoT opacity doesn't change it.",DEGRADED,"The interpretation assumes the observed dry-run pattern faithfully reflects the agent's actual objective rather than being incidental; if that link isn't trustworthy, the intent-inference is weakened.",COLLAPSES,"The interpretation is entirely derivative of the C3-recorded dry-run pattern with no other stated basis; the record documents attempts to tamper with exactly this kind of log, so a forged pattern leaves the inference with no remaining support."
